checkpoint,motion_key,terminated,progress,mpjpe_g,mpjpe_l,mpjpe_g_foot,mpjpe_g_vr_3points,anchor_xy_error_mean,anchor_xy_error_max,anchor_heading_error_mean,anchor_heading_error_max
hy_drift_s050,itching_left_body_side_R_001__A238_M,False,1.0,0.21984291076660156,0.06736137891056562,0.23319776130445075,0.23607409441912613,0.18791630864143372,0.4311589002609253,0.10614465177059174,0.24727022647857666
hy_drift_s050,brush_off_dust_001__A235,False,1.0,0.12309929592157501,0.08019007265178207,0.13002497853796466,0.17267631913062534,0.08431285619735718,0.1636948436498642,0.06847060471773148,0.15950559079647064
hy_drift_s050,body_stretch_V004_001__A238_M,True,0.49814125895500183,0.2812950095938678,0.1310089437206786,0.26083057729443115,0.36255071949918866,0.2332528680562973,0.45802903175354004,0.047290075570344925,0.18665455281734467
hy_drift_s050,jump_ff_180_R_003__A238_M,True,0.3195876181125641,0.07870306571324666,0.04538413882255554,0.09668163458506267,0.06811904907226562,0.023533808067440987,0.08821886032819748,0.03409171476960182,0.15982460975646973
hy_drift_s050,sneeze_R_001__A235,False,1.0,0.15943913755163683,0.0851313920147651,0.17082356140676852,0.1917049891829139,0.14828194677829742,0.2816739082336426,0.04670702666044235,0.11598432064056396
pr_recovery_s050,jog_ff_start_180_R_003__A234_M,True,0.16931216418743134,0.0891476996401523,0.07533544682441874,0.15870730420376392,0.056045312408014386,0.027120616286993027,0.1442735493183136,0.04858158901333809,0.1491398811340332
pr_recovery_s050,walk_ff_loop_315_R_001__A237_M,True,0.9440993666648865,1.4540773485527665,0.08972508164702869,1.5418010774205944,1.444201993681694,1.45078706741333,3.3104419708251953,0.29384300112724304,0.7075371146202087
pr_recovery_s050,checking_time_R_001__A235,False,1.0,0.12137440272739955,0.07936182673673452,0.16486062470430174,0.11054167342728957,0.10839103162288666,0.33974385261535645,0.028215419501066208,0.0768197774887085
pr_recovery_s050,itching_left_body_side_R_001__A238_M,False,1.0,0.23473240630795258,0.07467272305729414,0.2763487497965495,0.23965459239201914,0.2055996209383011,0.5572725534439087,0.04766945168375969,0.16092050075531006
pr_recovery_s050,brush_off_dust_001__A235,True,0.26623377203941345,0.1189015207726971,0.08352353214438445,0.12297171549080244,0.14785720060593682,0.06802821159362793,0.27426376938819885,0.04052767530083656,0.09195292741060257
pr_recovery_s050,body_stretch_V004_001__A238_M,True,0.15241636335849762,0.10481585317583227,0.0756266223850535,0.12791596597699978,0.16419950646547538,0.03999605029821396,0.1305343061685562,0.03154827654361725,0.10285354405641556
pr_recovery_s050,jump_ff_180_R_003__A238_M,True,0.3711340129375458,0.09779564539591472,0.05685316522916158,0.13410824537277222,0.08291016684638129,0.03500008583068848,0.27757227420806885,0.08004271239042282,0.6117523312568665
pr_recovery_s050,sneeze_R_001__A235,False,1.0,0.1367978627702831,0.09864881397348589,0.1550201652324305,0.1441983023224327,0.1239875927567482,0.24782754480838776,0.028644753620028496,0.06632006168365479
